

tap.pl 1.8

EPQ (Threshold for 0.5 Quantile)	Unweighted Average TAP
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2SUV4_Q2SUV4_BURTA.phmmer/up_Q2SUV4_Q2SUV4_BURTA.phmmer.spouge.1000	0.2457
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q1TLH7_Q1TLH7_9MYCO.phmmer/pfam21_Q1TLH7_Q1TLH7_9MYCO.phmmer.spouge.1000	0.6418
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q6XPZ9_Q6XPZ9_FUNHE.phmmer/up_Q6XPZ9_Q6XPZ9_FUNHE.phmmer.spouge.1000	0.1915
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q3M5I1_Q3M5I1_ANAVT.phmmer/up_Q3M5I1_Q3M5I1_ANAVT.phmmer.spouge.1000	0.0976
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q45095_Q45095_BACCI.phmmer/up_Q45095_Q45095_BACCI.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q41461_Q41461_SOLTU.phmmer/up_Q41461_Q41461_SOLTU.phmmer.spouge.1000	0.0525
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q9FEH8_Q9FEH8_BRANA.phmmer/up_Q9FEH8_Q9FEH8_BRANA.phmmer.spouge.1000	0.8305
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q20WY3_Q20WY3_RHOPB.phmmer/up_Q20WY3_Q20WY3_RHOPB.phmmer.spouge.1000	0.0524
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_P67637_XERD_MYCBO.phmmer/up_P67637_XERD_MYCBO.phmmer.spouge.1000	0.0139
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q379A0_Q379A0_RHOPA.phmmer/pfam21_Q379A0_Q379A0_RHOPA.phmmer.spouge.1000	0.0271
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q73X69_Q73X69_MYCPA.phmmer/up_Q73X69_Q73X69_MYCPA.phmmer.spouge.1000	0.1806
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q3XPL5_Q3XPL5_9PROT.phmmer/pfam21_Q3XPL5_Q3XPL5_9PROT.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2L9C1_Q2L9C1_HUMAN.phmmer/up_Q2L9C1_Q2L9C1_HUMAN.phmmer.spouge.1000	0.0673
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q1UW50_Q1UW50_9MYCO.phmmer/pfam21_Q1UW50_Q1UW50_9MYCO.phmmer.spouge.1000	0.0315
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q6G7M7_DDL_STAAS.phmmer/up_Q6G7M7_DDL_STAAS.phmmer.spouge.1000	0.0249
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q1LKM7_Q1LKM7_RALME.phmmer/up_Q1LKM7_Q1LKM7_RALME.phmmer.spouge.1000	0.0311
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q33UM2_Q33UM2_9GAMM.phmmer/pfam21_Q33UM2_Q33UM2_9GAMM.phmmer.spouge.1000	0.1838
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q7A5T6_Q7A5T6_STAAN.phmmer/up_Q7A5T6_Q7A5T6_STAAN.phmmer.spouge.1000	0.1181
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_P37383_RAD51_CHICK.phmmer/up_P37383_RAD51_CHICK.phmmer.spouge.1000	0.0841
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q3IKB8_DNLJ_PSEHT.phmmer/up_Q3IKB8_DNLJ_PSEHT.phmmer.spouge.1000	0.6119
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8P1Y9_Q8P1Y9_STRP8.phmmer/up_Q8P1Y9_Q8P1Y9_STRP8.phmmer.spouge.1000	0.0477
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q6NHJ1_Q6NHJ1_CORDI.phmmer/up_Q6NHJ1_Q6NHJ1_CORDI.phmmer.spouge.1000	0.4551
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q66GG4_Q66GG4_YERPS.phmmer/up_Q66GG4_Q66GG4_YERPS.phmmer.spouge.1000	0.9340
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4Z4R4_Q4Z4R4_PLABE.phmmer/up_Q4Z4R4_Q4Z4R4_PLABE.phmmer.spouge.1000	0.0131
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q21HH3_EFTS_SACD2.phmmer/up_Q21HH3_EFTS_SACD2.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q08277_HSP82_MAIZE.phmmer/up_Q08277_HSP82_MAIZE.phmmer.spouge.1000	0.7181
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q63RD4_Q63RD4_BURPS.phmmer/up_Q63RD4_Q63RD4_BURPS.phmmer.spouge.1000	0.4646
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8PBT2_Q8PBT2_XANCP.phmmer/up_Q8PBT2_Q8PBT2_XANCP.phmmer.spouge.1000	0.0038
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4EC64_Q4EC64_9RICK.phmmer/up_Q4EC64_Q4EC64_9RICK.phmmer.spouge.1000	0.0938
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q7CKB5_Q7CKB5_YERPE.phmmer/up_Q7CKB5_Q7CKB5_YERPE.phmmer.spouge.1000	0.3969
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8THK3_GUAAB_METAC.phmmer/up_Q8THK3_GUAAB_METAC.phmmer.spouge.1000	0.3333
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q41RI4_Q41RI4_FERAC.phmmer/pfam21_Q41RI4_Q41RI4_FERAC.phmmer.spouge.1000	0.2121
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q7UIA9_Q7UIA9_RHOBA.phmmer/up_Q7UIA9_Q7UIA9_RHOBA.phmmer.spouge.1000	0.6471
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q1ZMJ0_Q1ZMJ0_PHOAS.phmmer/up_Q1ZMJ0_Q1ZMJ0_PHOAS.phmmer.spouge.1000	0.9912
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q33PF7_Q33PF7_9GAMM.phmmer/pfam21_Q33PF7_Q33PF7_9GAMM.phmmer.spouge.1000	0.7255
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q7TUB3_Q7TUB3_PROMP.phmmer/up_Q7TUB3_Q7TUB3_PROMP.phmmer.spouge.1000	0.1579
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_O66971_O66971_AQUAE.phmmer/up_O66971_O66971_AQUAE.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q4BSM5_Q4BSM5_BURVI.phmmer/pfam21_Q4BSM5_Q4BSM5_BURVI.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8R837_Q8R837_THETN.phmmer/up_Q8R837_Q8R837_THETN.phmmer.spouge.1000	0.7766
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q3QAK9_Q3QAK9_9GAMM.phmmer/pfam21_Q3QAK9_Q3QAK9_9GAMM.phmmer.spouge.1000	0.0717
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q64D97_Q64D97_9ARCH.phmmer/up_Q64D97_Q64D97_9ARCH.phmmer.spouge.1000	0.1631
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8MSX9_Q8MSX9_DROME.phmmer/up_Q8MSX9_Q8MSX9_DROME.phmmer.spouge.1000	0.0729
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2K578_Q2K578_RHIEC.phmmer/up_Q2K578_Q2K578_RHIEC.phmmer.spouge.1000	0.1737
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q9C4F5_Q9C4F5_9EURY.phmmer/up_Q9C4F5_Q9C4F5_9EURY.phmmer.spouge.1000	0.2041
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q3SM86_Q3SM86_THIDA.phmmer/up_Q3SM86_Q3SM86_THIDA.phmmer.spouge.1000	0.2333
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8RK20_Q8RK20_PSEPU.phmmer/up_Q8RK20_Q8RK20_PSEPU.phmmer.spouge.1000	0.1133
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q5RDK4_Q5RDK4_PONAB.phmmer/up_Q5RDK4_Q5RDK4_PONAB.phmmer.spouge.1000	0.2701
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4SQA0_Q4SQA0_TETNG.phmmer/up_Q4SQA0_Q4SQA0_TETNG.phmmer.spouge.1000	0.5625
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q3BQ87_Q3BQ87_XANC5.phmmer/up_Q3BQ87_Q3BQ87_XANC5.phmmer.spouge.1000	0.4101
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q7CIP7_Q7CIP7_YERPE.phmmer/up_Q7CIP7_Q7CIP7_YERPE.phmmer.spouge.1000	0.8118
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q5F326_Q5F326_CHICK.phmmer/up_Q5F326_Q5F326_CHICK.phmmer.spouge.1000	0.1810
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q1X4C5_Q1X4C5_9FIRM.phmmer/pfam21_Q1X4C5_Q1X4C5_9FIRM.phmmer.spouge.1000	0.0197
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q4BNE7_Q4BNE7_BURVI.phmmer/pfam21_Q4BNE7_Q4BNE7_BURVI.phmmer.spouge.1000	0.1333
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q316S6_Q316S6_DESDG.phmmer/up_Q316S6_Q316S6_DESDG.phmmer.spouge.1000	0.1346
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q33Q29_Q33Q29_9GAMM.phmmer/pfam21_Q33Q29_Q33Q29_9GAMM.phmmer.spouge.1000	0.6085
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q2WVX8_Q2WVX8_CLOBE.phmmer/pfam21_Q2WVX8_Q2WVX8_CLOBE.phmmer.spouge.1000	0.6440
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q7DC81_Q7DC81_PSEAE.phmmer/up_Q7DC81_Q7DC81_PSEAE.phmmer.spouge.1000	1.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_P91550_P91550_CAEEL.phmmer/pfam21_P91550_P91550_CAEEL.phmmer.spouge.1000	0.0573
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q9S384_Q9S384_MYCLE.phmmer/up_Q9S384_Q9S384_MYCLE.phmmer.spouge.1000	0.0685
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q98G92_Q98G92_RHILO.phmmer/up_Q98G92_Q98G92_RHILO.phmmer.spouge.1000	0.3451
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4FS76_Q4FS76_PSYA2.phmmer/up_Q4FS76_Q4FS76_PSYA2.phmmer.spouge.1000	0.3408
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4ZZ46_Q4ZZ46_PSEU2.phmmer/up_Q4ZZ46_Q4ZZ46_PSEU2.phmmer.spouge.1000	0.8248
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q5KXK4_Q5KXK4_GEOKA.phmmer/up_Q5KXK4_Q5KXK4_GEOKA.phmmer.spouge.1000	0.0282
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q3R518_Q3R518_XYLFA.phmmer/up_Q3R518_Q3R518_XYLFA.phmmer.spouge.1000	0.7708
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4C3Y2_Q4C3Y2_CROWT.phmmer/up_Q4C3Y2_Q4C3Y2_CROWT.phmmer.spouge.1000	0.7196
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4FTY9_Q4FTY9_PSYA2.phmmer/up_Q4FTY9_Q4FTY9_PSYA2.phmmer.spouge.1000	0.0592
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q5VDC5_Q5VDC5_ASPFL.phmmer/up_Q5VDC5_Q5VDC5_ASPFL.phmmer.spouge.1000	0.8681
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2L227_Q2L227_BORA1.phmmer/up_Q2L227_Q2L227_BORA1.phmmer.spouge.1000	0.2913
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q4APA8_Q4APA8_9CHLB.phmmer/pfam21_Q4APA8_Q4APA8_9CHLB.phmmer.spouge.1000	0.0138
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q972B2_Q972B2_SULTO.phmmer/up_Q972B2_Q972B2_SULTO.phmmer.spouge.1000	0.0076
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q5CV93_Q5CV93_CRYPV.phmmer/up_Q5CV93_Q5CV93_CRYPV.phmmer.spouge.1000	0.0187
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q6N1B0_Q6N1B0_RHOPA.phmmer/up_Q6N1B0_Q6N1B0_RHOPA.phmmer.spouge.1000	0.9524
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q6BS14_Q6BS14_DEBHA.phmmer/pfam21_Q6BS14_Q6BS14_DEBHA.phmmer.spouge.1000	0.7560
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8DMV6_URE1_THEEB.phmmer/up_Q8DMV6_URE1_THEEB.phmmer.spouge.1000	0.8037
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2GK25_OBG_ANAPZ.phmmer/up_Q2GK25_OBG_ANAPZ.phmmer.spouge.1000	0.0158
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q2XGT8_Q2XGT8_PSEPU.phmmer/pfam21_Q2XGT8_Q2XGT8_PSEPU.phmmer.spouge.1000	0.3622
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8Y3U7_Q8Y3U7_LISMO.phmmer/up_Q8Y3U7_Q8Y3U7_LISMO.phmmer.spouge.1000	0.1622
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q4B4K0_Q4B4K0_9BURK.phmmer/pfam21_Q4B4K0_Q4B4K0_9BURK.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4C8I9_Q4C8I9_CROWT.phmmer/up_Q4C8I9_Q4C8I9_CROWT.phmmer.spouge.1000	0.0968
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q72BR5_Q72BR5_DESVH.phmmer/up_Q72BR5_Q72BR5_DESVH.phmmer.spouge.1000	0.0500
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_O93775_O93775_HALSA.phmmer/up_O93775_O93775_HALSA.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q2AJQ0_Q2AJQ0_9BACI.phmmer/pfam21_Q2AJQ0_Q2AJQ0_9BACI.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q9HNT7_Q9HNT7_HALSA.phmmer/up_Q9HNT7_Q9HNT7_HALSA.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q7TUN9_Q7TUN9_PROMM.phmmer/up_Q7TUN9_Q7TUN9_PROMM.phmmer.spouge.1000	0.2632
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q423K9_Q423K9_DESHA.phmmer/pfam21_Q423K9_Q423K9_DESHA.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q41PP5_Q41PP5_METBU.phmmer/pfam21_Q41PP5_Q41PP5_METBU.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8ZW38_Q8ZW38_PYRAE.phmmer/up_Q8ZW38_Q8ZW38_PYRAE.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_O29217_O29217_ARCFU.phmmer/up_O29217_O29217_ARCFU.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q82MC8_Q82MC8_STRAW.phmmer/up_Q82MC8_Q82MC8_STRAW.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q4K7R9_Q4K7R9_PSEF5.phmmer/up_Q4K7R9_Q4K7R9_PSEF5.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2NFN7_Q2NFN7_METST.phmmer/up_Q2NFN7_Q2NFN7_METST.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q26XD4_Q26XD4_XANP2.phmmer/pfam21_Q26XD4_Q26XD4_XANP2.phmmer.spouge.1000	0.0316
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8TKH5_Q8TKH5_METAC.phmmer/up_Q8TKH5_Q8TKH5_METAC.phmmer.spouge.1000	0.7000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q331Q2_Q331Q2_9ACTO.phmmer/up_Q331Q2_Q331Q2_9ACTO.phmmer.spouge.1000	0.0022
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q2H719_Q2H719_CHAGB.phmmer/up_Q2H719_Q2H719_CHAGB.phmmer.spouge.1000	0.2087
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q1ZZK0_Q1ZZK0_9BACT.phmmer/up_Q1ZZK0_Q1ZZK0_9BACT.phmmer.spouge.1000	1.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q9C104_GDE1_SCHPO.phmmer/up_Q9C104_GDE1_SCHPO.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_O69146_O69146_BACSU.phmmer/up_O69146_O69146_BACSU.phmmer.spouge.1000	0.0009
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q6TBN8_Q6TBN8_9NOST.phmmer/up_Q6TBN8_Q6TBN8_9NOST.phmmer.spouge.1000	0.1141
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q8NJX5_Q8NJX5_9FUNG.phmmer/up_Q8NJX5_Q8NJX5_9FUNG.phmmer.spouge.1000	1.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q96I86_Q96I86_HUMAN.phmmer/pfam21_Q96I86_Q96I86_HUMAN.phmmer.spouge.1000	0.0000
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/pfam21_Q50QX4_Q50QX4_ENTHI.phmmer/pfam21_Q50QX4_Q50QX4_ENTHI.phmmer.spouge.1000	0.0078
/panfs/pan1/iglobal/projs/multiDomainBenchmarkRuns/MultiDomainBenchmark-test/phmmer/up_Q9ZFY2_Q9ZFY2_9DEIN.phmmer/up_Q9ZFY2_Q9ZFY2_9DEIN.phmmer.spouge.1000	0.1162
